transientid,ML_PROB
59149.106876765996_DM_181.13_beam_0C_frbid.hdf5,1.0
59149.1068767943_DM_180.21_beam_0C_frbid.hdf5,1.0
59149.1068771062_DM_137.23_beam_0C_frbid.hdf5,1.0
59149.1068771488_DM_135.39_beam_0C_frbid.hdf5,1.0
59149.1068772338_DM_121.88_beam_0C_frbid.hdf5,1.0
59149.106877297694_DM_76.75_beam_0C_frbid.hdf5,0.99999964
59149.106877297694_DM_79.51_beam_0C_frbid.hdf5,0.99999976
59149.1068773047_DM_79.82_beam_0C_frbid.hdf5,1.0
59149.1068773047_DM_95.78_beam_0C_frbid.hdf5,1.0
59149.1072172486_DM_132.93_beam_0I_frbid.hdf5,1.0
59149.111041890304_DM_1307.94_beam_106C_frbid.hdf5,0.9640296
59149.1110638945_DM_1434.54_beam_116C_frbid.hdf5,0.99999654
59149.1110646884_DM_1363.64_beam_116C_frbid.hdf5,0.99999976
59149.1110648302_DM_1347.18_beam_116C_frbid.hdf5,0.9999492
59149.1110650854_DM_1196.53_beam_116C_frbid.hdf5,0.99997854
59149.111065369005_DM_1112.97_beam_116C_frbid.hdf5,0.9999794
59149.1110752651_DM_128.33_beam_342C_frbid.hdf5,0.9999832
59149.1110754353_DM_122.19_beam_342C_frbid.hdf5,0.9999902
59149.111077335096_DM_376.07_beam_342C_frbid.hdf5,0.9999738
59149.1110774485_DM_136.92_beam_342C_frbid.hdf5,0.99999917
59149.1110774485_DM_167.93_beam_342C_frbid.hdf5,0.99999964
59149.1110774485_DM_181.44_beam_342C_frbid.hdf5,0.99999964
59149.1110774485_DM_202.31_beam_342C_frbid.hdf5,0.99999976
59149.1110774485_DM_207.53_beam_342C_frbid.hdf5,0.9999962
59149.1110774485_DM_217.05_beam_342C_frbid.hdf5,0.9999944
59149.1110774485_DM_222.88_beam_342C_frbid.hdf5,0.99999654
59149.1110774485_DM_254.20_beam_342C_frbid.hdf5,0.99999475
59149.1110774485_DM_258.49_beam_342C_frbid.hdf5,0.99999964
59149.1110774485_DM_27.63_beam_342C_frbid.hdf5,0.9999976
59149.1110774485_DM_300.55_beam_342C_frbid.hdf5,1.0
59149.1110774485_DM_317.44_beam_342C_frbid.hdf5,0.9999994
59149.1110774485_DM_55.87_beam_342C_frbid.hdf5,0.9999975
59149.1110774485_DM_84.73_beam_342C_frbid.hdf5,0.9999809
59149.1139716717_DM_380.37_beam_147C_frbid.hdf5,1.0
59149.1237298778_DM_417.65_beam_76C_frbid.hdf5,1.0
59149.131176155_DM_26.71_beam_288C_frbid.hdf5,0.999995
59149.133508727005_DM_357.04_beam_262C_frbid.hdf5,0.9999999
59149.1374260955_DM_49.73_beam_264C_frbid.hdf5,1.0
59149.139344073796_DM_376.38_beam_300C_frbid.hdf5,0.9999974
59149.142364452004_DM_2009.32_beam_104C_frbid.hdf5,0.99999785
59149.1482068874_DM_2092.21_beam_113C_frbid.hdf5,0.9999993
59149.1522616583_DM_2461.48_beam_354C_frbid.hdf5,1.0
59149.1522616725_DM_1795.80_beam_354C_frbid.hdf5,0.99999845
59149.1522616725_DM_807.87_beam_354C_frbid.hdf5,0.9999647
59149.1522645223_DM_3045.75_beam_278C_frbid.hdf5,1.0
59149.15479513809_DM_1485.18_beam_176C_frbid.hdf5,0.999587
59149.1550551894_DM_382.83_beam_340C_frbid.hdf5,0.99999964
59149.15543934_DM_302.70_beam_272C_frbid.hdf5,0.9999887
59149.1554401251_DM_27.32_beam_136C_frbid.hdf5,0.99993384
59149.1563149113_DM_297.79_beam_281C_frbid.hdf5,1.0
59149.1601898638_DM_649.77_beam_351C_frbid.hdf5,0.99997914
59149.1601898638_DM_768.43_beam_351C_frbid.hdf5,0.9993228
59149.1663477584_DM_26.40_beam_98C_frbid.hdf5,0.9991134
59149.1667292577_DM_649.11_beam_158C_frbid.hdf5,0.9995522
59149.1667296263_DM_669.33_beam_270C_frbid.hdf5,0.99999416
59149.166729796394_DM_644.55_beam_270C_frbid.hdf5,0.9999989
59149.1667303635_DM_567.61_beam_270C_frbid.hdf5,0.99999547
59149.166732632_DM_45.44_beam_165C_frbid.hdf5,0.9996861
59149.166732632_DM_86.27_beam_47C_frbid.hdf5,0.99795085
59149.166985622694_DM_260.64_beam_16C_frbid.hdf5,0.9974262
59149.1669861615_DM_248.36_beam_16C_frbid.hdf5,0.9999876
59149.166986189804_DM_238.54_beam_16C_frbid.hdf5,0.9997172
59149.16698636_DM_301.78_beam_16C_frbid.hdf5,0.9994572
59149.1669865301_DM_172.23_beam_16C_frbid.hdf5,0.9999039
59149.1669865301_DM_201.70_beam_16C_frbid.hdf5,0.99989164
59149.1669865301_DM_208.45_beam_16C_frbid.hdf5,0.99563783
59149.166986586795_DM_153.81_beam_16C_frbid.hdf5,0.9999734
59149.166986586795_DM_202.62_beam_16C_frbid.hdf5,0.9987049
59149.1669866435_DM_184.51_beam_16C_frbid.hdf5,0.9999889
59149.1669866435_DM_53.73_beam_16C_frbid.hdf5,0.99996936
59149.16698665769_DM_52.19_beam_16C_frbid.hdf5,0.99997914
59149.1669867002_DM_143.68_beam_16C_frbid.hdf5,0.9999486
59149.1669867002_DM_147.67_beam_16C_frbid.hdf5,0.99996877
59149.1669867002_DM_59.25_beam_16C_frbid.hdf5,0.9999559
59149.1669867002_DM_59.56_beam_16C_frbid.hdf5,0.99998534
59149.1669867144_DM_35.30_beam_16C_frbid.hdf5,0.9999733
59149.16698675691_DM_190.95_beam_349C_frbid.hdf5,0.9970469
59149.16698706889_DM_309.15_beam_217C_frbid.hdf5,0.9983829
59149.1719079118_DM_333.71_beam_329C_frbid.hdf5,0.99998283
59149.1721446262_DM_466.55_beam_328C_frbid.hdf5,0.99990153
59149.172147064804_DM_240.69_beam_349C_frbid.hdf5,0.99997437
59149.1721480573_DM_842.05_beam_232C_frbid.hdf5,0.99766374
59149.1736486196_DM_1100.31_beam_348C_frbid.hdf5,0.999966
59149.1738919126_DM_1529.49_beam_377C_frbid.hdf5,0.99999976
59149.1899449233_DM_27.02_beam_221C_frbid.hdf5,0.9999999
59149.2019298195_DM_314.37_beam_313C_frbid.hdf5,1.0
59149.2042384379_DM_24.56_beam_140C_frbid.hdf5,0.9999993
59149.2046708005_DM_42.06_beam_373C_frbid.hdf5,0.99999976
59149.2046708785_DM_35.92_beam_290C_frbid.hdf5,1.0
59149.2046709529_DM_26.40_beam_39C_frbid.hdf5,0.99999905
59149.2052435953_DM_384.40_beam_177C_frbid.hdf5,0.9999931
59149.2053759887_DM_573.48_beam_309C_frbid.hdf5,0.9999999
59149.2106729965_DM_29.78_beam_268C_frbid.hdf5,0.9999857
59149.2106730036_DM_27.02_beam_124C_frbid.hdf5,0.9999181
59149.2106730036_DM_27.32_beam_124C_frbid.hdf5,0.99992037
59149.2108547326_DM_673.24_beam_349C_frbid.hdf5,0.9999714
59149.2169198787_DM_37.76_beam_127C_frbid.hdf5,0.9999975
59149.2185038745_DM_163.02_beam_365C_frbid.hdf5,0.99979395
59149.219596183495_DM_314.98_beam_326C_frbid.hdf5,0.99999547
59149.22316967_DM_56.49_beam_143C_frbid.hdf5,1.0
59149.2349556874_DM_348.44_beam_42C_frbid.hdf5,1.0
59149.234955971_DM_268.01_beam_42C_frbid.hdf5,1.0
59149.234955999294_DM_204.77_beam_42C_frbid.hdf5,1.0
59149.23495602769_DM_202.62_beam_42C_frbid.hdf5,1.0
59149.23495602769_DM_203.85_beam_42C_frbid.hdf5,0.9999999
59149.23495602769_DM_322.66_beam_42C_frbid.hdf5,1.0
59149.2349560844_DM_218.58_beam_42C_frbid.hdf5,0.9999999
59149.2349561128_DM_207.22_beam_42C_frbid.hdf5,1.0
59149.2349561411_DM_103.15_beam_42C_frbid.hdf5,1.0
59149.2349561411_DM_206.61_beam_42C_frbid.hdf5,1.0
59149.2349561411_DM_211.83_beam_42C_frbid.hdf5,1.0
59149.2349561411_DM_293.49_beam_42C_frbid.hdf5,1.0
59149.2349561695_DM_66.62_beam_42C_frbid.hdf5,1.0
59149.235480327_DM_229.64_beam_304C_frbid.hdf5,0.9999727
59149.2354824111_DM_275.69_beam_304C_frbid.hdf5,0.9999995
59149.2370852105_DM_97.32_beam_73C_frbid.hdf5,1.0
59149.2374588268_DM_24.87_beam_146C_frbid.hdf5,0.9999995
59149.2387651802_DM_380.07_beam_232C_frbid.hdf5,0.9997552
59149.239344489695_DM_382.52_beam_155C_frbid.hdf5,0.99999964
59149.2432053347_DM_409.18_beam_262C_frbid.hdf5,0.99995327
59149.2470872767_DM_152.27_beam_131C_frbid.hdf5,0.99999547
59149.247090764504_DM_1491.51_beam_93C_frbid.hdf5,0.9999999
59149.247215842_DM_531.10_beam_169C_frbid.hdf5,0.9887034
59149.2507498861_DM_52.19_beam_264C_frbid.hdf5,0.9999968
59149.2507498861_DM_54.65_beam_264C_frbid.hdf5,0.9999933
59149.2509106566_DM_712.36_beam_254C_frbid.hdf5,0.9999505
59149.254554386396_DM_136.92_beam_311C_frbid.hdf5,1.0
59149.2545580887_DM_48.51_beam_208C_frbid.hdf5,0.9999391
59149.254558191395_DM_22.72_beam_50C_frbid.hdf5,1.0
59149.254573434504_DM_24.87_beam_258C_frbid.hdf5,0.9999999
59149.254615394006_DM_93.02_beam_49C_frbid.hdf5,1.0
59149.254616161394_DM_135.69_beam_235C_frbid.hdf5,1.0
