transientid,ML_PROB
59049.5164386894_DM_42.98_beam_149C_frbid.hdf5,1.0
59049.5493917204_DM_44.82_beam_55C_frbid.hdf5,1.0
59049.5517623438_DM_44.21_beam_55C_frbid.hdf5,1.0
59049.5569014028_DM_48.81_beam_0C_frbid.hdf5,1.0
59049.557573062004_DM_49.12_beam_0C_frbid.hdf5,1.0
59049.56557632_DM_48.51_beam_0C_frbid.hdf5,1.0
59049.5659402529_DM_46.97_beam_0C_frbid.hdf5,1.0
59049.56669577269_DM_47.89_beam_0C_frbid.hdf5,1.0
59049.567731233605_DM_49.43_beam_0C_frbid.hdf5,1.0
59049.5678711483_DM_48.20_beam_0C_frbid.hdf5,1.0
59049.568570537696_DM_49.12_beam_0C_frbid.hdf5,1.0
59049.570809449404_DM_50.35_beam_0C_frbid.hdf5,1.0
59049.5712292238_DM_49.43_beam_0C_frbid.hdf5,1.0
59049.5724043886_DM_49.12_beam_0C_frbid.hdf5,1.0
59049.5726002245_DM_48.81_beam_0C_frbid.hdf5,1.0
59049.5730481562_DM_49.12_beam_0C_frbid.hdf5,1.0
59049.5733837298_DM_48.81_beam_0C_frbid.hdf5,1.0
59049.573495893_DM_49.12_beam_0C_frbid.hdf5,1.0
59049.57412460019_DM_49.12_beam_0C_frbid.hdf5,1.0
59049.574376531105_DM_49.12_beam_0C_frbid.hdf5,1.0
59050.6564272948_DM_46.05_beam_0I_frbid.hdf5,1.0
59050.657174993095_DM_46.05_beam_192C_frbid.hdf5,1.0
59050.657219912995_DM_47.59_beam_209C_frbid.hdf5,1.0
59050.65721996321_DM_46.36_beam_0I_frbid.hdf5,1.0
59050.6572290208_DM_46.05_beam_373C_frbid.hdf5,1.0
59050.65733707901_DM_46.05_beam_301C_frbid.hdf5,1.0
59050.657337132005_DM_46.36_beam_0I_frbid.hdf5,1.0
59050.65739115691_DM_46.36_beam_266C_frbid.hdf5,1.0
59050.6573911625_DM_46.66_beam_178C_frbid.hdf5,1.0
59050.6575983161_DM_46.36_beam_208C_frbid.hdf5,1.0
59050.6576162835_DM_47.89_beam_257C_frbid.hdf5,1.0
59050.6576163142_DM_46.66_beam_255C_frbid.hdf5,1.0
59050.657616319804_DM_46.66_beam_220C_frbid.hdf5,1.0
59050.657616325305_DM_46.66_beam_379C_frbid.hdf5,1.0
59050.6576163281_DM_46.36_beam_77C_frbid.hdf5,1.0
59050.6576163449_DM_46.05_beam_336C_frbid.hdf5,1.0
59050.6576163532_DM_46.05_beam_184C_frbid.hdf5,1.0
59050.657616358796_DM_46.36_beam_307C_frbid.hdf5,1.0
59050.657616361605_DM_46.05_beam_195C_frbid.hdf5,1.0
59050.657616364406_DM_46.05_beam_173C_frbid.hdf5,1.0
59050.657616364406_DM_46.05_beam_208C_frbid.hdf5,1.0
59050.6576163672_DM_45.74_beam_347C_frbid.hdf5,1.0
59050.657616381104_DM_45.44_beam_93C_frbid.hdf5,1.0
59050.657652396796_DM_46.36_beam_219C_frbid.hdf5,1.0
59050.657652408_DM_46.05_beam_239C_frbid.hdf5,1.0
59050.6576614014_DM_46.36_beam_211C_frbid.hdf5,1.0
59050.657661412595_DM_46.05_beam_306C_frbid.hdf5,1.0
59050.6576703977_DM_46.36_beam_136C_frbid.hdf5,1.0
59050.65767042_DM_46.36_beam_306C_frbid.hdf5,1.0
59050.657670436696_DM_46.36_beam_273C_frbid.hdf5,1.0
59050.657670472996_DM_44.52_beam_274C_frbid.hdf5,1.0
59050.657688432_DM_46.36_beam_77C_frbid.hdf5,1.0
59050.6576884488_DM_46.05_beam_192C_frbid.hdf5,1.0
59050.6576884878_DM_45.74_beam_310C_frbid.hdf5,1.0
59050.657697322305_DM_47.89_beam_228C_frbid.hdf5,1.0
59050.657697419905_DM_46.05_beam_336C_frbid.hdf5,1.0
59050.6577064775_DM_46.36_beam_0I_frbid.hdf5,1.0
59050.6576974311_DM_46.36_beam_287C_frbid.hdf5,1.0
59050.657697439405_DM_45.74_beam_262C_frbid.hdf5,1.0
59050.657706399405_DM_47.89_beam_30C_frbid.hdf5,1.0
59050.657706474696_DM_46.66_beam_245C_frbid.hdf5,1.0
59050.6577064859_DM_45.74_beam_182C_frbid.hdf5,1.0
59050.6577064887_DM_46.05_beam_178C_frbid.hdf5,1.0
59050.6577154291_DM_46.66_beam_195C_frbid.hdf5,1.0
59050.657715440306_DM_46.36_beam_262C_frbid.hdf5,1.0
59050.6577154849_DM_45.74_beam_336C_frbid.hdf5,1.0
59050.6577244756_DM_46.05_beam_214C_frbid.hdf5,1.0
59050.668702394105_DM_60.48_beam_112C_frbid.hdf5,1.0
59050.6687024192_DM_60.48_beam_122C_frbid.hdf5,1.0
59050.668702422_DM_60.48_beam_13C_frbid.hdf5,1.0
59050.668702422_DM_60.48_beam_225C_frbid.hdf5,1.0
59050.668702422_DM_60.48_beam_46C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_0I_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_107C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_192C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_196C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_298C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_336C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_34C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_364C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_365C_frbid.hdf5,1.0
59050.6687024248_DM_60.48_beam_4C_frbid.hdf5,1.0
59050.668702427596_DM_60.48_beam_353C_frbid.hdf5,1.0
59050.668702427596_DM_60.48_beam_367C_frbid.hdf5,1.0
59050.668702427596_DM_60.48_beam_49C_frbid.hdf5,0.9999968
59050.668702427596_DM_60.48_beam_65C_frbid.hdf5,1.0
59050.668702427596_DM_60.48_beam_90C_frbid.hdf5,1.0
59050.6687024304_DM_60.48_beam_207C_frbid.hdf5,1.0
59050.668702433206_DM_60.17_beam_304C_frbid.hdf5,1.0
59050.6687024416_DM_60.17_beam_361C_frbid.hdf5,1.0
59050.6688919568_DM_68.46_beam_58C_frbid.hdf5,1.0
59050.668891973495_DM_68.15_beam_89C_frbid.hdf5,1.0
59050.668891981906_DM_68.15_beam_145C_frbid.hdf5,1.0
59050.6764113686_DM_43.29_beam_280C_frbid.hdf5,1.0
59050.6781734822_DM_43.59_beam_280C_frbid.hdf5,1.0
59050.6795707902_DM_43.59_beam_280C_frbid.hdf5,1.0
59050.6799756187_DM_43.29_beam_280C_frbid.hdf5,1.0
